"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the API endpoint to update details of an existing user","266","Update user details","","Tue Aug 06 19:12:47 AMT 2024","passed","Tue Aug 06 19:12:48 AMT 2024","","User Operations","",""
"Test the API endpoint for successful user registration","312","Register a new user successfully","","Tue Aug 06 19:12:46 AMT 2024","passed","Tue Aug 06 19:12:46 AMT 2024","","User Operations","",""
"Test the API endpoint to delete an existing user","203","Delete user","","Tue Aug 06 19:12:49 AMT 2024","passed","Tue Aug 06 19:12:49 AMT 2024","","User Operations","",""
"Test the API endpoint to get details of a single user with ID 2","47","Get single user details","","Tue Aug 06 19:12:47 AMT 2024","passed","Tue Aug 06 19:12:47 AMT 2024","","User Operations","",""
"Test the API endpoint for unsuccessful user registration","206","Unsuccessful user registration","","Tue Aug 06 19:12:46 AMT 2024","passed","Tue Aug 06 19:12:47 AMT 2024","","User Operations","",""
"Test the API endpoint for successful user login","204","Successful user login","","Tue Aug 06 19:12:47 AMT 2024","passed","Tue Aug 06 19:12:47 AMT 2024","","User Operations","",""
"Test the API endpoint to create a new user","394","Create a new user","","Tue Aug 06 19:12:46 AMT 2024","passed","Tue Aug 06 19:12:46 AMT 2024","","User Operations","",""
"Test the API endpoint to list users on page 2","47","List users on page 2","","Tue Aug 06 19:12:47 AMT 2024","passed","Tue Aug 06 19:12:47 AMT 2024","","User Operations","",""
"Test the API endpoint to update details of an existing user using PATCH method","218","Update user details","","Tue Aug 06 19:12:48 AMT 2024","passed","Tue Aug 06 19:12:48 AMT 2024","","User Operations","",""
"Test the API endpoint for unsuccessful user login","219","Unsuccessful user login","","Tue Aug 06 19:12:47 AMT 2024","passed","Tue Aug 06 19:12:47 AMT 2024","","User Operations","",""
"Test the API endpoint to get details of a non-existent user with ID 23","62","User not found","","Tue Aug 06 19:12:47 AMT 2024","passed","Tue Aug 06 19:12:47 AMT 2024","","User Operations","",""
